T,SoC,R1,R2,R3
10,1,0.0032309416876121,0.00419920287085509,0.00834462525732576
10,0.99,0.0032309416876121,0.00419920287085509,0.00834462525732576
10,0.98,0.00350668751058343,0.00465487989525131,0.00505708030596506
10,0.97,0.0036472575916453,0.00697300282109352,0.00729807453118035
10,0.96,0.00367336376745128,0.00764561315894782,0.0077123398191463
10,0.95,0.00369595267309891,0.0075776420381994,0.00854782205170633
10,0.94,0.00384703127179611,0.00846498812393629,0.00895198960830666
10,0.93,0.00378703350784883,0.00771450644352487,0.00902804026596658
10,0.92,0.00407267631472233,0.00824405370260021,0.0092588823035665
10,0.91,0.00405605623601954,0.00817304780904672,0.0116077801742383
10,0.86,0.00439633012996797,0.00582284896380436,0.0046925733761155
10,0.809999999999999,0.00365511441667702,0.0084096392633017,0.00802548197156892
10,0.76,0.00326601474176747,0.00413033365012171,0.00567014815418854
10,0.71,0.00323353658060889,0.00329900456567426,0.00385586894973576
10,0.66,0.00363919133558987,0.00266030005871361,0.00344519946428815
10,0.61,0.00381492083350911,0.00271846907110238,0.00373084459215142
10,0.56,0.00401697624085104,0.00354934550687403,0.00433561962871615
10,0.51,0.00423356692499488,0.00648831376611632,0.00536785555026226
10,0.46,0.00443072344550991,0.00987430216647907,0.00809636666199704
10,0.41,0.00488233338528765,0.0116802991710449,0.0146692604419769
10,0.36,0.00510415218873605,0.00828753204362384,0.0122751628836764
10,0.31,0.0046548730715388,0.00739361459123603,0.0235264433091816
10,0.26,0.00480699042010527,0.00794050806259096,0.0280726150409392
10,0.209999999999999,0.00367361872695591,0.00661200632988231,0.0114991269303502
10,0.16,0.00474067892895164,0.00276176827306212,0.00724536073562234
10,0.15,0.00563528358485274,0.00980160468813038,0.0218285274220834
10,0.139999999999999,0.00600749748503791,0.00681974955870056,0.0175769139824802
10,0.13,0.00627217764598882,0.00711513964939225,0.0129668055784219
10,0.12,0.00641196172917649,0.0116458625185264,0.0209963771437101
10,0.109999999999999,0.00607981156872798,0.0108671985708854,0.0283928498003564
10,0.0999999999999999,0.00555538330145884,0.00795578510814376,0.0378641606982078
10,0.09,0.0057046498380883,0.00700859359956893,0.0194110440764156
10,0.0799999999999999,0.0060280424958593,0.0060481842581678,0.0187002222512119
10,0.0699999999999999,0.00614580983536923,0.00730360791113328,0.0200935581450396
10,0.06,0.00695701616168633,0.0112034724626539,0.0287934826332645
10,0.0499999999999999,0.00769909612474536,0.0162393820145529,0.0405280057681465
10,0.0399999999999999,0.00769909612474536,0.0162393820145529,0.0405280057681465
10,0.03,0.00769909612474536,0.0162393820145529,0.0405280057681465
10,0.0199999999999999,0.00769909612474536,0.0162393820145529,0.0405280057681465
10,0.00999999999999998,0.00769909612474536,0.0162393820145529,0.0405280057681465
10,0,0.00769909612474536,0.0162393820145529,0.0405280057681465
20,1,0.00198484791773931,0.00151959893402714,0.00408476978652077
20,0.99,0.00198484791773931,0.00151959893402714,0.00408476978652077
20,0.98,0.00212741760872165,0.00230688175645001,0.00234670567125643
20,0.97,0.00193640490895174,0.00308833724626413,0.00397295026100703
20,0.96,0.00249225200089816,0.00441299799839629,0.00425180877652546
20,0.95,0.00244204302556099,0.00408279488427326,0.00453224798176427
20,0.94,0.00260757404293305,0.00492984504612364,0.00395353075399868
20,0.93,0.00255750195917281,0.00452563867646057,0.0065195262498171
20,0.92,0.00261201319527162,0.00524832246960676,0.00533865192462022
20,0.91,0.00270132719997642,0.00498691150580378,0.00624719146297277
20,0.86,0.00274202438139557,0.0023556461248783,0.00305576558471948
20,0.809999999999999,0.00314090709400929,0.00397487936266482,0.0034365932648726
20,0.76,0.00250605147413863,0.00370906953886496,0.00554458089285248
20,0.71,0.0020724988768405,0.00215646367667723,0.00204576025585896
20,0.66,0.00217966134158399,0.00193490831213222,0.0019858799252704
20,0.61,0.00245602941651306,0.00189870780390862,0.0021837601311904
20,0.56,0.00198443205098033,0.00165739950133385,0.00225732265445276
20,0.51,0.00267694284358184,0.00284133759131438,0.00284844347581745
20,0.46,0.00293312600360748,0.00570874407406132,0.00419980895824073
20,0.41,0.00282575655601095,0.00728185841216598,0.00605003462838348
20,0.36,0.00193682075784782,0.00446113516103774,0.00607168681403441
20,0.31,0.00296471752551473,0.00688757134889704,0.00636549580454266
20,0.26,0.00325950189478821,0.00574581851264659,0.0138759771426842
20,0.209999999999999,0.00299052559559145,0.00354731681040094,0.0100692148408932
20,0.16,0.0023503777546701,0.00278583953495868,0.0059557300944021
20,0.15,0.0023235489821363,0.00433597250201936,0.0226963110529766
20,0.139999999999999,0.00274337817006192,0.00428655977677114,0.0100568578838615
20,0.13,0.00298314538253231,0.00492690968100777,0.0127316939983738
20,0.12,0.00321021105916153,0.00526071554329979,0.0096106350593941
20,0.109999999999999,0.00353472480490587,0.00636124600761777,0.0159746600935105
20,0.0999999999999999,0.0035980951630475,0.00685281232180133,0.0302378181192118
20,0.09,0.0032876117651134,0.00518367453849875,0.0258837555944884
20,0.0799999999999999,0.00319129749940967,0.00570082538143888,0.0110157753079585
20,0.0699999999999999,0.00323965006311394,0.00646706324699665,0.012271277484852
20,0.06,0.00337695532025734,0.00696887976051847,0.0117477193879147
20,0.0499999999999999,0.00347734709813095,0.00804476019091819,0.0135405153450358
20,0.0399999999999999,0.00366330842181439,0.00934381632587927,0.0199089486918425
20,0.03,0.00467480328394082,0.0164001229071172,0.0592678537671549
20,0.0199999999999999,0.00611324450707543,0.0242935940719177,0.262438457836505
20,0.00999999999999998,0.00611324450707543,0.0242935940719177,0.262438457836505
20,0,0.00611324450707543,0.0242935940719177,0.262438457836505
30,1,0.00137631053257972,0.000971348472017299,0.00299997667439445
30,0.99,0.00137631053257972,0.000971348472017299,0.00299997667439445
30,0.98,0.00153360365751559,0.00197398768100001,0.0015608666868923
30,0.97,0.00130358582497466,0.00190175639963071,0.00302398147738807
30,0.96,0.00164259028852295,0.00280762782370275,0.00226305373452868
30,0.95,0.00159848911045759,0.00267963884100691,0.00248182815515429
30,0.94,0.00176765056699335,0.00305587850484162,0.00264750968765466
30,0.93,0.00170921675966014,0.00282298025931234,0.00310682330920134
30,0.92,0.00177120790845481,0.002819467814016,0.0032141066437603
30,0.91,0.00171274079177844,0.00277125588798806,0.00339255647991363
30,0.86,0.00220546259846725,0.00178203924962994,0.00209248575397891
30,0.809999999999999,0.00237575219670083,0.00327117051322339,0.00348645053988818
30,0.76,0.00162014529106362,0.00184126548483918,0.00221709046512001
30,0.71,0.00138129723705406,0.00121218160307687,0.00126325120172653
30,0.66,0.00142059409422054,0.0013093193257139,0.0012314605305357
30,0.61,0.00163311496338266,0.00131608122374151,0.00140082106512624
30,0.56,0.00175360194375769,0.00158455439491983,0.00146355506668235
30,0.51,0.00202540578857101,0.00220998205088647,0.00203254139093927
30,0.46,0.00226932772698593,0.00357178344581818,0.00301604632894911
