SOC,T_degC,V_Vsrc0_V,R_R0_Ohm,R_R1_Ohm,C_C1_F,R_R2_Ohm,C_C2_F
1,45,4.192578884,0.0161505225826927,1.50860878879968e-05,320781.03010184,0.00497802579318031,7087.94576280972
0.99,45,4.15937726382907,0.0161505225826927,1.50860878879968e-05,320781.03010184,0.00497802579318031,7087.94576280972
0.98,45,4.14016796928463,0.0161065699301787,1.58849422931549e-05,306221.521706157,0.00499595326107753,6925.96852775976
0.97,45,4.12533041605403,0.0158013062833597,2.14332128763326e-05,205101.603463608,0.00512046461398836,5800.9906562361
0.96,45,4.11442156672945,0.0154679431840803,0.000155481148121108,112847.69185075,0.00520695269129842,4930.95112310323
0.95,45,4.10677160049715,0.0150429212744987,0.000708687656071034,49514.1878847318,0.00516941101357088,4892.50590057896
0.94,45,4.10147584884366,0.0147834384638612,0.0011242975493169,1538.64382980844,0.00529322131271799,4747.76864999684
0.93,45,4.09752424351254,0.0150602721850989,0.00109411947061796,3320.09282810533,0.00593978263081234,4258.66458687561
0.92,45,4.09396013232091,0.0152865012983722,0.00101063235576441,5157.94574125908,0.00667994148436881,3773.54317043026
0.91,45,4.08999837707027,0.0153557652844709,0.000761791531512112,7170.75204353701,0.00771042071877703,3300.77510809866
0.9,45,4.08508615769559,0.0154039202169203,0.000557169210145522,9067.11944405331,0.00865970898618757,2921.58585282917
0.89,45,4.0789294926452,0.0153909716231532,0.000480544405636779,10626.4358519193,0.00937397703606949,2813.27539608953
0.88,45,4.0714667737048,0.015350188263616,0.000487736066045272,10958.1375980774,0.0099814811039505,2758.45364540287
0.87,45,4.06280865994174,0.0152300462940595,0.000733893565345283,7789.83528464861,0.01028459456615,2856.13144866176
0.86,45,4.05317086087153,0.0151055485876659,0.000925379006134071,5407.44172652679,0.0105381983222072,2945.52586681791
0.85,45,4.04281528164663,0.0149691298920922,0.000967235338845283,5175.96088852495,0.0106563015433846,3012.24991991855
0.84,45,4.03200699950931,0.0148467978204229,0.000995807037783938,5017.36073847837,0.0107065702680821,3079.38469265838
0.83,45,4.02098509996986,0.0147615025029305,0.00098945058653546,5050.37954144364,0.0105784875589739,3147.59933538091
0.82,45,4.00994661824754,0.0146812376085977,0.000975954841599309,5123.29313775639,0.0104379103555112,3211.25045606098
0.81,45,3.99904025449987,0.0146136876504787,0.000944413763106052,5297.04512013945,0.0102657519721566,3263.36678337718
0.8,45,3.98836671175131,0.0145493444409695,0.000912482185226433,5481.01993412288,0.0100979752027088,3308.15392269555
0.79,45,3.97798362883214,0.0144926118529232,0.000879623829674921,5689.25673775759,0.00994059737901477,3335.54659731891
0.78,45,3.96791337256389,0.0144504177183694,0.000842240883597991,5945.44177535933,0.00979590351459368,3354.84844268692
0.77,45,3.95815050591021,0.0144422516669123,0.00079426787424794,6313.85240082202,0.00968089718333147,3355.21323877614
0.76,45,3.94866964486677,0.0144232695012434,0.000782281280084722,6413.83749323894,0.00957655425141409,3358.31929994701
0.75,45,3.93943125602153,0.0143799048000132,0.000851418094089962,5908.71663200492,0.00949624959319038,3367.60493652047
0.74,45,3.93038631928117,0.0143519152846068,0.000903601041044097,5534.332899412,0.00947338472339338,3357.03054404534
0.73,45,3.92147877291414,0.0143565599454452,0.000919799025493076,5437.4416502744,0.00957243709092096,3304.30279514062
0.72,45,3.91264545793564,0.0143660818148616,0.000953349739427829,5258.47436358566,0.0097054732312732,3251.45892636661
0.71,45,3.90382035050694,0.0143858186804346,0.00102324461666191,4907.60415441055,0.00990968617352732,3198.37185207873
0.7,45,3.89493349480652,0.0144069514822951,0.0011025295339051,4552.8016519431,0.0101458281114041,3145.01652952016
0.69,45,3.88591194131,0.0144309044389071,0.00120078477678993,4190.05489319967,0.010446474933582,3091.11927561274
0.68,45,3.87668120648127,0.0144478981437191,0.00131037637860108,3834.86919902338,0.0107618216767117,3044.11446378423
0.67,45,3.86716809688283,0.0144513243800215,0.00144206887533086,3494.42424255285,0.0111058267757013,3010.54687100537
0.66,45,3.85730544863247,0.014440022646838,0.0015762394317529,3184.76105026271,0.0114297588823611,2990.12949497797
0.65,45,3.84703883365722,0.0144010015337911,0.00171507392219513,2933.03194148579,0.011715911789389,2994.46202448005
0.64,45,3.83633488621733,0.0143936072879859,0.00172475078170689,2933.77973734219,0.0119606554971058,2979.83757833458
0.63,45,3.82519039353153,0.0144436993354744,0.00149966542477548,3393.43992811805,0.0121301321428508,2930.75615440145
0.62,45,3.81364041839302,0.0144503777174756,0.00135271986417138,3696.06233327788,0.0122011376896059,2921.11413126317
0.61,45,3.80176185571163,0.0143808212452457,0.00134298860961056,3722.92473151856,0.0120992269485249,2980.72811166192
